"特定個人情報等"
"国民年金法又は被用者年金各法による年金である給付の支給又は保険料の徴収に関する情報"

"項目名","内容"
"年金給付記録情報",""
"基礎年金番号","000000000"
"年金資格記録情報",""
"厚生年金加入記録情報",""
"厚生年金資格取得年月日","2021-02-01"
"厚生年金資格月数情報","26"
"年金加入期間・納付等月数記録情報",""
"厚生年金加入月数情報","134"
"厚生年金納付月数情報","134"
"厚生年金基金加入月数情報","0"
"厚生年金基金納付月数情報","0"
"国民年金加入月数情報","86"
"国民年金保険料納付月数情報","22"
"国民年金全額保険料免除月数情報","0"
"国民年金３／４保険料免除月数情報","0"
"国民年金半額保険料免除月数情報","0"
"国民年金１／４保険料免除月数情報","0"
"国民年金学生納付特例／納付猶予月数情報","12"
"国民年金産前産後免除月数情報","0"
"船員保険加入月数情報","0"
"船員保険納付月数情報","0"
"共済組合等納付月数情報","0"
"合算対象月数情報","0"
"国民年金保険料納付月数等合計情報","34"
"国民年金・厚生年金・船員保険納付月数等合計情報","168"
"年金加入月数合計情報","220"
"年金納付月数等合計情報","168"

"行政機関等"
"行政機関等","日本年金機構"

"処理状況"
"確認日","2023年4月21日"
"分野","年金関係"
"分野詳細","すべて"
"取得依頼対象日","2023年04月21日"
"確認者","利用者本人"
"処理状況","閲覧済"
"回答結果受領日","2023年4月21日"
"整理番号","0000000000000000-20230421193624-123abc-06"
